city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Grinnell,Iowa,41.685324,-92.630258,1,place,,,,,Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
Hamburg,Iowa,40.59389,-95.66083,1,place,,,,,Hamburg,IA,"Fremont County",51640,US,"TIGER/Line® dataset from the US Census Bureau"
Sidney,Iowa,40.77152,-95.626355,1,place,,,,,Sidney,IA,"Fremont County",51652,US,"TIGER/Line® dataset from the US Census Bureau"
Sidney,Iowa,40.77152,-95.626355,1,place,,,,,Sidney,IA,"Fremont County",51652,US,"TIGER/Line® dataset from the US Census Bureau"
Hampton,Iowa,42.731454,-93.230657,1,place,,,,,Hampton,IA,"Franklin County",50441,US,"TIGER/Line® dataset from the US Census Bureau"
Sheffield,Iowa,42.89441,-93.21187,1,place,,,,,Sheffield,IA,"Franklin County",50475,US,"TIGER/Line® dataset from the US Census Bureau"
Harlan,Iowa,41.667566,-95.29087,1,place,,,,,Harlan,IA,"Shelby County",51537,US,"TIGER/Line® dataset from the US Census Bureau"
Shelby,Iowa,41.5161,-95.45028,1,place,,,,,Shelby,IA,"Pottawattamie County",51570,US,"TIGER/Line® dataset from the US Census Bureau"
Hartley,Iowa,43.154712,-95.505959,1,place,,,,,Hartley,IA,"O'Brien County",51346,US,"TIGER/Line® dataset from the US Census Bureau"
Paullina,Iowa,42.982521,-95.69489,1,place,,,,,Paullina,IA,"O'Brien County",51046,US,"TIGER/Line® dataset from the US Census Bureau"
Sanborn,Iowa,43.172865,-95.643967,1,place,,,,,Sanborn,IA,"O'Brien County",51248,US,"TIGER/Line® dataset from the US Census Bureau"
Sheldon,Iowa,43.170886,-95.792885,1,place,,,,,Sheldon,IA,"O'Brien County",51201,US,"TIGER/Line® dataset from the US Census Bureau"
Sigourney,Iowa,41.310884,-92.159246,1,place,,,,,Sigourney,IA,"Keokuk County",52591,US,"TIGER/Line® dataset from the US Census Bureau"
Hedrick,Iowa,41.211206,-92.297854,1,place,,,,,Hedrick,IA,"Keokuk County",52563,US,"TIGER/Line® dataset from the US Census Bureau"
Hedrick,Iowa,41.211206,-92.297854,1,place,,,,,Hedrick,IA,"Keokuk County",52563,US,"TIGER/Line® dataset from the US Census Bureau"
Keota,Iowa,41.3639,-91.95379,1,place,,,,,Keota,IA,"Keokuk County",52248,US,"TIGER/Line® dataset from the US Census Bureau"
Richland,Iowa,41.18557,-91.99295,1,place,,,,,Richland,IA,"Keokuk County",52585,US,"TIGER/Line® dataset from the US Census Bureau"
"What Cheer",Iowa,41.396307,-92.331335,1,place,,,,,"What Cheer",IA,"Keokuk County",50268,US,"TIGER/Line® dataset from the US Census Bureau"
Holstein,Iowa,42.443085,-95.530596,1,place,,,,,Holstein,IA,"Ida County",51025,US,"TIGER/Line® dataset from the US Census Bureau"
"Ida Grove",Iowa,42.326783,-95.477979,1,place,,,,,"Ida Grove",IA,"Ida County",51445,US,"TIGER/Line® dataset from the US Census Bureau"
Humboldt,Iowa,42.775833,-94.207763,1,place,,,,,Humboldt,IA,"Humboldt County",50548,US,"TIGER/Line® dataset from the US Census Bureau"
Rohnerville,Iowa,0,0,0,,,,,,,,,,,
Independence,Iowa,42.506055,-91.81214,1,place,,,,,Independence,IA,"Buchanan County",50644,US,"TIGER/Line® dataset from the US Census Bureau"
Jesup,Iowa,42.47443,-92.06184,1,place,,,,,Jesup,IA,"Buchanan County",50648,US,"TIGER/Line® dataset from the US Census Bureau"
Lamont,Iowa,42.585655,-91.716494,1,place,,,,,Lamont,IA,"Buchanan County",50650,US,"TIGER/Line® dataset from the US Census Bureau"
Indianola,Iowa,41.314309,-93.588041,1,place,,,,,Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau"
Inwood,Iowa,43.3072,-96.43198,1,place,,,,,Inwood,IA,"Lyon County",51240,US,"TIGER/Line® dataset from the US Census Bureau"
"Rock Rapids",Iowa,43.415126,-96.146555,1,place,,,,,"Rock Rapids",IA,"Lyon County",51246,US,"TIGER/Line® dataset from the US Census Bureau"
"Iowa City",Iowa,41.634209,-91.49905,1,place,,,,,"Iowa City",IA,"Johnson County",52240,US,"TIGER/Line® dataset from the US Census Bureau"
"Lone Tree",Iowa,41.510935,-91.440616,1,place,,,,,"Lone Tree",IA,"Johnson County",52755,US,"TIGER/Line® dataset from the US Census Bureau"
Solon,Iowa,41.792851,-91.506086,1,place,,,,,Solon,IA,"Johnson County",52333,US,"TIGER/Line® dataset from the US Census Bureau"
Kellerton,Iowa,40.709922,-94.049307,1,place,,,,,Kellerton,IA,"Ringgold County",50133,US,"TIGER/Line® dataset from the US Census Bureau"
"Mount Ayr",Iowa,40.716275,-94.228794,1,place,,,,,"Mount Ayr",IA,"Ringgold County",50854,US,"TIGER/Line® dataset from the US Census Bureau"
"Lake City",Iowa,42.29709,-94.721051,1,place,,,,,"Lake City",IA,"Calhoun County",51449,US,"TIGER/Line® dataset from the US Census Bureau"
Lohrville,Iowa,42.281733,-94.542337,1,place,,,,,Lohrville,IA,"Calhoun County",51453,US,"TIGER/Line® dataset from the US Census Bureau"
"Rockwell City",Iowa,42.393114,-94.633664,1,place,,,,,"Rockwell City",IA,"Calhoun County",50579,US,"TIGER/Line® dataset from the US Census Bureau"
"Lake View",Iowa,42.312348,-95.028491,1,place,,,,,"Lake View",IA,"Sac County",51450,US,"TIGER/Line® dataset from the US Census Bureau"
Odebolt,Iowa,42.31221,-95.25055,1,place,,,,,Odebolt,IA,"Sac County",51458,US,"TIGER/Line® dataset from the US Census Bureau"
"Sac City",Iowa,42.439752,-94.992967,1,place,,,,,"Sac City",IA,"Sac County",50583,US,"TIGER/Line® dataset from the US Census Bureau"
Schaller,Iowa,42.480673,-95.265117,1,place,,,,,Schaller,IA,"Sac County",51053,US,"TIGER/Line® dataset from the US Census Bureau"
Lansing,Iowa,43.346574,-91.277117,1,place,,,,,Lansing,IA,"Allamakee County",52151,US,"TIGER/Line® dataset from the US Census Bureau"
Postville,Iowa,43.175423,-91.507751,1,place,,,,,Postville,IA,"Allamakee County",52162,US,"TIGER/Line® dataset from the US Census Bureau"
Waukon,Iowa,43.290026,-91.445754,1,place,,,,,Waukon,IA,"Allamakee County",52172,US,"TIGER/Line® dataset from the US Census Bureau"
Manly,Iowa,43.28718,-93.20215,1,place,,,,,Manly,IA,"Worth County",50456,US,"TIGER/Line® dataset from the US Census Bureau"
Northwood,Iowa,43.428355,-93.261042,1,place,,,,,Northwood,IA,"Worth County",50459,US,"TIGER/Line® dataset from the US Census Bureau"
Mapleton,Iowa,42.16582,-95.79306,1,place,,,,,Mapleton,IA,"Monona County",51034,US,"TIGER/Line® dataset from the US Census Bureau"
Moorhead,Iowa,41.939436,-95.853673,1,place,,,,,Moorhead,IA,"Monona County",51558,US,"TIGER/Line® dataset from the US Census Bureau"
Onawa,Iowa,42.021131,-96.129525,1,place,,,,,Onawa,IA,"Monona County",51040,US,"TIGER/Line® dataset from the US Census Bureau"
Ute,Iowa,42.033712,-95.720898,1,place,,,,,Ute,IA,"Monona County",51060,US,"TIGER/Line® dataset from the US Census Bureau"
Marengo,Iowa,41.768214,-92.094866,1,place,,,,,Marengo,IA,"Iowa County",52301,US,"TIGER/Line® dataset from the US Census Bureau"
"North English",Iowa,41.555588,-92.067635,1,place,,,,,"North English",IA,"Iowa County",52316,US,"TIGER/Line® dataset from the US Census Bureau"
Victor,Iowa,41.706644,-92.25127,1,place,,,,,Victor,IA,"Iowa County",52347,US,"TIGER/Line® dataset from the US Census Bureau"
Williamsburg,Iowa,41.649999,-92.065181,1,place,,,,,Williamsburg,IA,"Iowa County",52361,US,"TIGER/Line® dataset from the US Census Bureau"
"Mount Pleasant",Iowa,40.994595,-91.573713,1,place,,,,,"Mount Pleasant",IA,"Henry County",52641,US,"TIGER/Line® dataset from the US Census Bureau"
"New London",Iowa,40.92781,-91.39738,1,place,,,,,"New London",IA,"Henry County",52645,US,"TIGER/Line® dataset from the US Census Bureau"
Winfield,Iowa,41.12308,-91.44127,1,place,,,,,Winfield,IA,"Henry County",52659,US,"TIGER/Line® dataset from the US Census Bureau"
Muscatine,Iowa,41.462426,-91.053888,1,place,,,,,Muscatine,IA,"Muscatine County",52761,US,"TIGER/Line® dataset from the US Census Bureau"
Nichols,Iowa,41.492577,-91.196155,1,place,,,,,Nichols,IA,"Muscatine County",52766,US,"TIGER/Line® dataset from the US Census Bureau"
"West Liberty",Iowa,41.56919,-91.26071,1,place,,,,,"West Liberty",IA,"Muscatine County",52776,US,"TIGER/Line® dataset from the US Census Bureau"
"Wilton Junction",Iowa,41.559742,-90.959154,1,place,,,,,Wilton,IA,"Muscatine County",52778,US,"TIGER/Line® dataset from the US Census Bureau"
Ashton,Iowa,43.309073,-95.772984,1,place,,,,,Ashton,IA,"Osceola County",51232,US,"TIGER/Line® dataset from the US Census Bureau"
Ocheyedan,Iowa,43.41858,-95.53279,1,place,,,,,Ocheyedan,IA,"Osceola County",51354,US,"TIGER/Line® dataset from the US Census Bureau"
Sibley,Iowa,43.377681,-95.624809,1,place,,,,,Sibley,IA,"Osceola County",51249,US,"TIGER/Line® dataset from the US Census Bureau"
Osage,Iowa,43.320773,-92.789683,1,place,,,,,Osage,IA,"Mitchell County",50461,US,"TIGER/Line® dataset from the US Census Bureau"
Osceola,Iowa,41.029937,-93.775845,1,place,,,,,Osceola,IA,"Clarke County",50213,US,"TIGER/Line® dataset from the US Census Bureau"
Peterson,Iowa,42.91803,-95.34389,1,place,,,,,Peterson,IA,"Clay County",51047,US,"TIGER/Line® dataset from the US Census Bureau"
Spencer,Iowa,43.13291,-95.177909,1,place,,,,,Spencer,IA,"Clay County",51301,US,"TIGER/Line® dataset from the US Census Bureau"
Pocahontas,Iowa,42.726507,-94.650755,1,place,,,,,Pocahontas,IA,"Pocahontas County",50574,US,"TIGER/Line® dataset from the US Census Bureau"
