city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Center,Texas,31.780781,-94.235334,1,place,,,,,Center,TX,"Shelby County",75935,US,"TIGER/Line® dataset from the US Census Bureau"
Timpson,Texas,31.905616,-94.42602,1,place,,,,,Timpson,TX,"Shelby County",75975,US,"TIGER/Line® dataset from the US Census Bureau"
Childress,Texas,34.4104,-100.236376,1,place,,,,,Childress,TX,"Childress County",79201,US,"TIGER/Line® dataset from the US Census Bureau"
Chillicothe,Texas,34.25647,-99.51676,1,place,,,,,Chillicothe,TX,"Hardeman County",79225,US,"TIGER/Line® dataset from the US Census Bureau"
Quanah,Texas,34.39086,-99.857216,1,place,,,,,Quanah,TX,"Hardeman County",79252,US,"TIGER/Line® dataset from the US Census Bureau"
Cisco,Texas,32.286476,-98.973319,1,place,,,,,Cisco,TX,"Eastland County",76437,US,"TIGER/Line® dataset from the US Census Bureau"
Eastland,Texas,32.403972,-98.777973,1,place,,,,,Eastland,TX,"Eastland County",76448,US,"TIGER/Line® dataset from the US Census Bureau"
Gorman,Texas,32.221688,-98.719352,1,place,,,,,Gorman,TX,"Eastland County",76454,US,"TIGER/Line® dataset from the US Census Bureau"
Ranger,Texas,32.46985,-98.67895,1,place,,,,,Ranger,TX,"Eastland County",76470,US,"TIGER/Line® dataset from the US Census Bureau"
"Rising Star",Texas,32.09597,-98.96367,1,place,,,,,"Rising Star",TX,"Eastland County",76471,US,"TIGER/Line® dataset from the US Census Bureau"
Clarendon,Texas,34.968107,-100.891655,1,place,,,,,Clarendon,TX,"Donley County",79226,US,"TIGER/Line® dataset from the US Census Bureau"
Clarksville,Texas,33.61306,-95.096511,1,place,,,,,Clarksville,TX,"Red River County",75426,US,"TIGER/Line® dataset from the US Census Bureau"
Detroit,Texas,33.664645,-95.262837,1,place,,,,,Detroit,TX,"Red River County",75436,US,"TIGER/Line® dataset from the US Census Bureau"
Claude,Texas,35.133039,-101.460835,1,place,,,,,Claude,TX,"Armstrong County",79019,US,"TIGER/Line® dataset from the US Census Bureau"
Cleveland,Texas,30.343114,-94.978471,1,place,,,,,Cleveland,TX,"Liberty County",77327,US,"TIGER/Line® dataset from the US Census Bureau"
Dayton,Texas,30.04661,-94.8852,1,place,,,,,Dayton,TX,"Liberty County",77535,US,"TIGER/Line® dataset from the US Census Bureau"
Liberty,Texas,30.094593,-94.737806,1,place,,,,,Liberty,TX,"Liberty County",77575,US,"TIGER/Line® dataset from the US Census Bureau"
Clifton,Texas,31.791801,-97.520315,1,place,,,,,Clifton,TX,"Bosque County",76634,US,"TIGER/Line® dataset from the US Census Bureau"
Meridian,Texas,31.926424,-97.652901,1,place,,,,,Meridian,TX,"Bosque County",76665,US,"TIGER/Line® dataset from the US Census Bureau"
"Valley Mills",Texas,31.657441,-97.471686,1,place,,,,,"Valley Mills",TX,"Bosque County",76689,US,"TIGER/Line® dataset from the US Census Bureau"
Coleman,Texas,31.896653,-99.400197,1,place,,,,,Coleman,TX,"Coleman County",76834,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Anna",Texas,31.737608,-99.326291,1,place,,,,,"Santa Anna",TX,"Coleman County",76878,US,"TIGER/Line® dataset from the US Census Bureau"
Colmesneil,Texas,30.900651,-94.391575,1,place,,,,,Colmesneil,TX,"Tyler County",75938,US,"TIGER/Line® dataset from the US Census Bureau"
Woodville,Texas,30.74856,-94.38912,1,place,,,,,Woodville,TX,"Tyler County",75979,US,"TIGER/Line® dataset from the US Census Bureau"
Colorado,Texas,0,0,0,,,,,,,,,,,
Columbus,Texas,29.70662,-96.53969,1,place,,,,,Columbus,TX,"Colorado County",78934,US,"TIGER/Line® dataset from the US Census Bureau"
"Eagle Lake",Texas,29.590148,-96.35207,1,place,,,,,"Eagle Lake",TX,"Colorado County",77434,US,"TIGER/Line® dataset from the US Census Bureau"
"Rock Island",Texas,29.53107,-96.57525,1,place,,,,,"Rock Island",TX,"Colorado County",77470,US,"TIGER/Line® dataset from the US Census Bureau"
Weimar,Texas,29.675937,-96.743007,1,place,,,,,Weimar,TX,"Colorado County",78962,US,"TIGER/Line® dataset from the US Census Bureau"
Comanche,Texas,31.979672,-98.513844,1,place,,,,,Comanche,TX,"Comanche County",76442,US,"TIGER/Line® dataset from the US Census Bureau"
"De Leon",Texas,32.070468,-98.650751,1,place,,,,,"De Leon",TX,"Comanche County",76444,US,"TIGER/Line® dataset from the US Census Bureau"
Commerce,Texas,33.289045,-95.976965,1,place,,,,,Commerce,TX,"Hunt County",75428,US,"TIGER/Line® dataset from the US Census Bureau"
Greenville,Texas,33.189011,-96.10887,1,place,,,,,Greenville,TX,"Hunt County",75401,US,"TIGER/Line® dataset from the US Census Bureau"
"Wolfe City",Texas,33.32576,-96.056153,1,place,,,,,"Wolfe City",TX,"Hunt County",75496,US,"TIGER/Line® dataset from the US Census Bureau"
Conroe,Texas,30.307375,-95.438548,1,place,,,,,Conroe,TX,"Montgomery County",77301,US,"TIGER/Line® dataset from the US Census Bureau"
Willis,Texas,30.438807,-95.533229,1,place,,,,,Willis,TX,"Montgomery County",77318,US,"TIGER/Line® dataset from the US Census Bureau"
Cooper,Texas,33.37344,-95.68829,1,place,,,,,Cooper,TX,"Delta County",75432,US,"TIGER/Line® dataset from the US Census Bureau"
Cotulla,Texas,28.43693,-99.23503,1,place,,,,,Cotulla,TX,"La Salle County",78014,US,"TIGER/Line® dataset from the US Census Bureau"
Crane,Texas,31.39736,-102.35014,1,place,,,,,Crane,TX,"Crane County",79731,US,"TIGER/Line® dataset from the US Census Bureau"
Crockett,Texas,31.320814,-95.392816,1,place,,,,,Crockett,TX,"Houston County",75835,US,"TIGER/Line® dataset from the US Census Bureau"
Crosbyton,Texas,33.616133,-101.306058,1,place,,,,,Crosbyton,TX,"Crosby County",79322,US,"TIGER/Line® dataset from the US Census Bureau"
Ralls,Texas,33.68513,-101.383596,1,place,,,,,Ralls,TX,"Crosby County",79357,US,"TIGER/Line® dataset from the US Census Bureau"
Crowell,Texas,33.968163,-99.641288,1,place,,,,,Crowell,TX,"Foard County",79227,US,"TIGER/Line® dataset from the US Census Bureau"
Cuero,Texas,29.093677,-97.260776,1,place,,,,,Cuero,TX,"DeWitt County",77954,US,"TIGER/Line® dataset from the US Census Bureau"
Daingerfield,Texas,33.044611,-94.739524,1,place,,,,,Daingerfield,TX,"Morris County",75638,US,"TIGER/Line® dataset from the US Census Bureau"
Dalhart,Texas,36.277826,-102.602022,1,place,,,,,Dalhart,TX,"Dallam County",79022,US,"TIGER/Line® dataset from the US Census Bureau"
"Del Rio",Texas,29.410195,-100.893202,1,place,,,,,"Del Rio",TX,"Val Verde County",78840,US,"TIGER/Line® dataset from the US Census Bureau"
Tioga,Texas,33.46678,-96.91834,1,place,,,,,Tioga,TX,"Grayson County",76271,US,"TIGER/Line® dataset from the US Census Bureau"
Denison,Texas,33.76672,-96.546662,1,place,,,,,Denison,TX,"Grayson County",75020,US,"TIGER/Line® dataset from the US Census Bureau"
Sherman,Texas,33.604131,-96.550405,1,place,,,,,Sherman,TX,"Grayson County",75090,US,"TIGER/Line® dataset from the US Census Bureau"
"Van Alstyne",Texas,33.4215,-96.57721,1,place,,,,,"Van Alstyne",TX,"Grayson County",75495,US,"TIGER/Line® dataset from the US Census Bureau"
Whitesboro,Texas,33.65622,-96.90695,1,place,,,,,Whitesboro,TX,"Grayson County",76273,US,"TIGER/Line® dataset from the US Census Bureau"
Whitewright,Texas,33.502316,-96.446845,1,place,,,,,Whitewright,TX,"Grayson County",75491,US,"TIGER/Line® dataset from the US Census Bureau"
Denton,Texas,33.220974,-97.146038,1,place,,,,,Denton,TX,"Denton County",76201,US,"TIGER/Line® dataset from the US Census Bureau"
Lewisville,Texas,33.20743,-97.116282,1,place,,,,,Lewisville,TX,"Denton County",75029,US,"TIGER/Line® dataset from the US Census Bureau"
"Pilot Point",Texas,33.3965,-96.96056,1,place,,,,,"Pilot Point",TX,"Denton County",76258,US,"TIGER/Line® dataset from the US Census Bureau"
Sanger,Texas,33.341653,-97.214454,1,place,,,,,Sanger,TX,"Denton County",76266,US,"TIGER/Line® dataset from the US Census Bureau"
Devine,Texas,29.21041,-98.978383,1,place,,,,,Devine,TX,"Medina County",78016,US,"TIGER/Line® dataset from the US Census Bureau"
Hondo,Texas,29.398586,-99.176245,1,place,,,,,Hondo,TX,"Medina County",78861,US,"TIGER/Line® dataset from the US Census Bureau"
Donna,Texas,26.17035,-98.05195,1,place,,,,,Donna,TX,"Hidalgo County",78537,US,"TIGER/Line® dataset from the US Census Bureau"
Edinburg,Texas,26.280689,-98.183295,1,place,,,,,Edinburg,TX,"Hidalgo County",78539,US,"TIGER/Line® dataset from the US Census Bureau"
Elsa,Texas,26.297428,-97.98837,1,place,,,,,Elsa,TX,"Hidalgo County",78543,US,"TIGER/Line® dataset from the US Census Bureau"
McAllen,Texas,26.215816,-98.239592,1,place,,,,,McAllen,TX,"Hidalgo County",78501,US,"TIGER/Line® dataset from the US Census Bureau"
Mercedes,Texas,26.1498,-97.91361,1,place,,,,,Mercedes,TX,"Hidalgo County",78570,US,"TIGER/Line® dataset from the US Census Bureau"
Mission,Texas,26.228735,-98.376167,1,place,,,,,Mission,TX,"Hidalgo County",78572,US,"TIGER/Line® dataset from the US Census Bureau"
Pharr,Texas,26.1948,-98.18362,1,place,,,,,Pharr,TX,"Hidalgo County",78577,US,"TIGER/Line® dataset from the US Census Bureau"
"San Juan",Texas,26.214873,-98.161978,1,place,,,,,"San Juan",TX,"Hidalgo County",78589,US,"TIGER/Line® dataset from the US Census Bureau"
Weslaco,Texas,26.158623,-97.989155,1,place,,,,,Weslaco,TX,"Hidalgo County",78596,US,"TIGER/Line® dataset from the US Census Bureau"
Dublin,Texas,32.123145,-98.289028,1,place,,,,,Dublin,TX,"Erath County",76446,US,"TIGER/Line® dataset from the US Census Bureau"
Stephenville,Texas,32.321348,-98.108828,1,place,,,,,Stephenville,TX,"Erath County",76401,US,"TIGER/Line® dataset from the US Census Bureau"
